Product,date,Copyright,Counterfeit,Trademark,Metric
Facebook,2020-06-01,82.0,79.9,61.3,removal_rate
Instagram,2020-06-01,87.6,92.4,66.6,removal_rate
Facebook,2020-07-01,79.85,74.12,51.97,removal_rate
Instagram,2020-07-01,85.45,94.02,48.08,removal_rate
Facebook,2020-08-01,85.47,79.41,63.29,removal_rate
Instagram,2020-08-01,88.28,94.25,67.34,removal_rate
Facebook,2020-09-01,84.88,79.91,70.77,removal_rate
Instagram,2020-09-01,89.6,93.99,74.84,removal_rate
Facebook,2020-10-01,85.61,81.09,71.01,removal_rate
Instagram,2020-10-01,90.78,95.43,75.54,removal_rate
Facebook,2020-11-01,87.22,81.88,70.19,removal_rate
Instagram,2020-11-01,91.49,94.93,78.83,removal_rate
Facebook,2020-12-01,85.82,79.73,60.71,removal_rate
Instagram,2020-12-01,90.9,93.22,74.79,removal_rate
